timestamp,subscriber_count_Connected,phoenix_memory_chunksize_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_chunksize_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_chunksize_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_chunksize_cm_transactionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
2024-10-13 08:25:53.467000008,1,3072,8,127.998046875,39,4096,318,51.18359375,2010,3072,8,159.17578125,74,4096,3,32,5
2024-10-13 08:25:54.467000008,2,3072,8,127.998046875,39,4096,322,51.18359375,2012,3072,8,159.17578125,101,4096,3,32,5
2024-10-13 08:25:55.467000008,3,3072,8,127.998046875,39,4096,325,51.18359375,2014,3072,8,159.17578125,128,4096,3,32,5
2024-10-13 08:25:56.467000008,4,3072,8,127.998046875,39,4096,328,51.18359375,2016,3072,8,159.17578125,155,4096,3,32,5
2024-10-13 08:25:57.467000008,5,3072,8,127.998046875,39,4096,332,51.18359375,2018,3072,8,159.17578125,182,4096,3,32,5
2024-10-13 08:25:58.467000008,6,3072,8,127.998046875,39,4096,335,51.18359375,2020,3072,8,159.17578125,209,4096,3,32,5
2024-10-13 08:25:59.467000008,7,3072,8,127.998046875,39,4096,338,51.18359375,2022,3072,8,159.17578125,236,4096,3,32,5
2024-10-13 08:26:00.467000008,8,3072,8,127.998046875,39,4096,341,51.18359375,2024,3072,8,159.17578125,263,4096,3,32,5
2024-10-13 08:26:01.467000008,9,3072,8,127.998046875,39,4096,345,51.18359375,2026,3072,8,159.17578125,290,4096,3,32,5
2024-10-13 08:26:02.467000008,10,3072,8,127.998046875,39,4096,348,51.18359375,2028,3072,8,159.17578125,317,4096,3,32,5
2024-10-13 08:26:03.467000008,11,3072,8,127.998046875,39,4096,351,51.18359375,2030,3072,8,159.17578125,344,4096,3,32,5
2024-10-13 08:26:04.467000008,12,3072,8,127.998046875,39,4096,355,51.18359375,2032,3072,8,159.17578125,371,4096,3,32,5
2024-10-13 08:26:05.467000008,13,3072,8,127.998046875,39,4096,358,51.18359375,2034,3072,8,159.17578125,398,4096,3,32,5
2024-10-13 08:26:06.467000008,14,3072,8,127.998046875,39,4096,361,51.18359375,2036,3072,8,159.17578125,425,4096,3,32,5
2024-10-13 08:26:07.467000008,15,3072,8,127.998046875,39,4096,364,51.18359375,2038,3072,8,159.17578125,452,4096,3,32,5
2024-10-13 08:26:08.467000008,16,3072,8,127.998046875,39,4096,368,51.18359375,2040,3072,8,159.17578125,479,4096,3,32,5
2024-10-13 08:26:09.467000008,17,3072,8,127.998046875,39,4096,371,51.18359375,2042,3072,8,159.17578125,506,4096,3,32,5
2024-10-13 08:26:10.467000008,18,3072,8,127.998046875,39,4096,374,51.18359375,2044,3072,8,159.17578125,533,4096,3,32,5
2024-10-13 08:26:11.467000008,19,3072,8,127.998046875,39,4096,378,51.18359375,2046,3072,8,159.17578125,560,4096,3,32,5
2024-10-13 08:26:12.467000008,20,3072,8,127.998046875,39,4096,381,51.18359375,2048,3072,8,159.17578125,587,4096,3,32,5
2024-10-13 08:26:13.467000008,21,3072,8,127.998046875,39,4096,384,51.18359375,2050,3072,8,159.17578125,614,4096,3,32,5
2024-10-13 08:26:14.467000008,22,3072,8,127.998046875,39,4096,388,51.18359375,2052,3072,8,159.17578125,641,4096,3,32,5
2024-10-13 08:26:15.467000008,23,3072,8,127.998046875,39,4096,391,51.18359375,2054,3072,8,159.17578125,668,4096,3,32,5
2024-10-13 08:26:16.467000008,24,3072,8,127.998046875,39,4096,394,51.18359375,2056,3072,8,159.17578125,695,4096,3,32,5
2024-10-13 08:26:17.467000008,25,3072,8,127.998046875,39,4096,398,51.18359375,2058,3072,8,159.17578125,722,4096,3,32,5
2024-10-13 08:26:18.467000008,26,3072,8,127.998046875,39,4096,401,51.18359375,2060,3072,8,159.17578125,749,4096,3,32,5
2024-10-13 08:26:19.467000008,27,3072,8,127.998046875,39,4096,404,51.18359375,2062,3072,8,159.17578125,776,4096,3,32,5
2024-10-13 08:26:20.467000008,28,3072,8,127.998046875,39,4096,408,51.18359375,2064,3072,8,159.17578125,803,4096,3,32,5
2024-10-13 08:26:21.467000008,29,3072,8,127.998046875,39,4096,411,51.18359375,2066,3072,8,159.17578125,830,4096,3,32,5
2024-10-13 08:26:22.467000008,30,3072,8,127.998046875,39,4096,414,51.18359375,2068,3072,8,159.17578125,857,4096,3,32,5
2024-10-13 08:26:23.467000008,31,3072,8,127.998046875,39,4096,418,51.18359375,2070,3072,8,159.17578125,884,4096,3,32,5
2024-10-13 08:26:24.467000008,32,3072,8,127.998046875,39,4096,421,51.18359375,2072,3072,8,159.17578125,911,4096,3,32,5
2024-10-13 08:26:25.467000008,33,3072,8,127.998046875,39,4096,424,51.18359375,2074,3072,8,159.17578125,938,4096,3,32,5
2024-10-13 08:26:26.467000008,34,3072,8,127.998046875,39,4096,428,51.18359375,2076,3072,8,159.17578125,965,4096,3,32,5
2024-10-13 08:26:27.467000008,35,3072,8,127.998046875,39,4096,431,51.18359375,2078,3072,8,159.17578125,992,4096,3,32,5
2024-10-13 08:26:28.467000008,36,3072,8,127.998046875,39,4096,434,51.18359375,2080,3072,8,159.17578125,1019,4096,3,32,5
2024-10-13 08:26:29.467000008,37,3072,8,127.998046875,39,4096,438,51.18359375,2082,3072,8,159.17578125,1046,4096,3,32,5
2024-10-13 08:26:30.467000008,38,3072,8,127.998046875,39,4096,441,51.18359375,2084,3072,8,159.17578125,1073,4096,3,32,5
2024-10-13 08:26:31.467000008,39,3072,8,127.998046875,39,4096,444,51.18359375,2086,3072,8,159.17578125,1100,4096,3,32,5
2024-10-13 08:26:32.467000008,40,3072,8,127.998046875,39,4096,448,51.18359375,2088,3072,8,159.17578125,1127,4096,3,32,5
2024-10-13 08:26:33.467000008,41,3072,8,127.998046875,39,4096,451,51.18359375,2090,3072,8,159.17578125,1154,4096,3,32,5
2024-10-13 08:26:34.467000008,42,3072,8,127.998046875,39,4096,454,51.18359375,2092,3072,8,159.17578125,1181,4096,3,32,5
2024-10-13 08:26:35.467000008,43,3072,8,127.998046875,39,4096,458,51.18359375,2094,3072,8,159.17578125,1208,4096,3,32,5
2024-10-13 08:26:36.467000008,44,3072,8,127.998046875,39,4096,461,51.18359375,2096,3072,8,159.17578125,1235,4096,3,32,5
2024-10-13 08:26:37.467000008,45,3072,8,127.998046875,39,4096,464,51.18359375,2098,3072,8,159.17578125,1262,4096,3,32,5
2024-10-13 08:26:38.467000008,46,3072,8,127.998046875,39,4096,468,51.18359375,2100,3072,8,159.17578125,1289,4096,3,32,5
2024-10-13 08:26:39.467000008,47,3072,8,127.998046875,39,4096,471,51.18359375,2102,3072,8,159.17578125,1316,4096,3,32,5
2024-10-13 08:26:40.467000008,48,3072,8,127.998046875,39,4096,474,51.18359375,2104,3072,8,159.17578125,1343,4096,3,32,5
2024-10-13 08:26:41.467000008,49,3072,8,127.998046875,39,4096,478,51.18359375,2106,3072,8,159.17578125,1370,4096,3,32,5
2024-10-13 08:26:42.467000008,50,3072,8,127.998046875,39,4096,481,51.18359375,2108,3072,8,159.17578125,1397,4096,3,32,5
2024-10-13 08:26:43.467000008,51,3072,8,127.998046875,39,4096,484,51.18359375,2110,3072,8,159.17578125,1424,4096,3,32,5
2024-10-13 08:26:44.467000008,52,3072,8,127.998046875,39,4096,488,51.18359375,2112,3072,8,159.17578125,1451,4096,3,32,5
2024-10-13 08:26:45.467000008,53,3072,8,127.998046875,39,4096,491,51.18359375,2114,3072,8,159.17578125,1478,4096,3,32,5
2024-10-13 08:26:46.467000008,54,3072,8,127.998046875,39,4096,494,51.18359375,2116,3072,8,159.17578125,1505,4096,3,32,5
2024-10-13 08:26:47.467000008,55,3072,8,127.998046875,39,4096,497,51.18359375,2118,3072,8,159.17578125,1532,4096,3,32,5
2024-10-13 08:26:48.467000008,56,3072,8,127.998046875,39,4096,501,51.18359375,2120,3072,8,159.17578125,1559,4096,3,32,5
2024-10-13 08:26:49.467000008,57,3072,8,127.998046875,39,4096,504,51.18359375,2122,3072,8,159.17578125,1586,4096,3,32,5
